Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
42,"Upgradation of Ambikapur Ramanujganj - Garhwa Road NH 343 of Package-I, Rajpuri
Khurd Village to Padih Village section from existing km 7.830 to km 57.650 Design Ch.
13.700 to Ch. 62.700 of total length 49.00 km to two lane with paved shoulders under
EPC mode in the state of Chhattisgarh
(MoRTH)
(618016)",Chhattisgarh,"03/2022
(05/2025)","05/2027
(-)","397.44
(-)"
43,"Upgradation of Keonchi - Ratanpur Road of NH 45 Package-II, from design chainage
km 278.75 to km 321.348 of length 42.598 km to two lane with paved shoulders under
Corridor scheme on EPC mode in the state of Chhattisgarh.
(MoRTH)
(618017)",Chhattisgarh,"03/2022
(07/2024)","01/2026
(-)","286
(-)"
44,"Upgradation of Bilaspur-Takhatpur-Mungeli-Pandariya-Pondi Road on N.H.-130A
Package IIIA Takhatpur By-pass from existing Ch. 26.542 to 32.093 [Design Ch.
18.700 to 25.900] & Mungeli By-pass from existing Ch. 45.786 to 56.275 [Design Ch.
29.600 to 51.600] and Package IIIB Pandariya By-Pass from existing Ch. 82.582 to
87.133 [Design Ch. 77.900 to 81.1000 & Pondi By-pass from existing Ch. 103.166 to
104.756 [Design Ch. 97.000 to 103.395] to two lane with paved shoulder configuration
in the
(MoRTH)
(618018)",Chhattisgarh,"03/2022
(01/2024)","07/2025
(-)","351.19
(-)"
45,"Upgradation to Two lane with Paved Shoulder Configuration of Narayanpur
Kasturmeta pkg-II from design ch. 48.693 to 70.453 design length21.760 Km. on
NH-130D under EPC mode in the state of Chhattisgarh.
(MoRTH)
(617972)",Chhattisgarh,"12/2022
(12/2024)","06/2026
(-)","200.67
(-)"
46,"Bemetara Bypass NH 30
(MoRTH)
(617908)",Chhattisgarh,"01/2024
(04/2025)","04/2027
(-)","161.96
(-)"
47,"4L of Urga - Pathalgaon from Km. 70.200 to km. 157.745 of NH-130A
(National Highways Authority of India [NHAI])
(618640)",Chhattisgarh,"03/2022
(02/2024)","08/2026
(-)","2261.3
(2860.36)"
48,"4 laning of Champa - Korba from km 0.00 to km 38.2
(National Highways Authority of India [NHAI])
(618957)",Chhattisgarh,"02/2021
(01/2022)","01/2024
(-)","1002.33
(1304.47)"
49,"Widening of Existing Road from Intermediate Lane 2-lane to 4-lane Between Km
19.994 to Km 35.180 of NH-848A Rakholi-Khadoli-Velugam Section in U.T. of Dadra
and Nagar Haveli and Daman and Diu
(MoRTH)
(619183)","Dadra & Nagar Haveli and
Daman & Diu","10/2022
(02/2024)","02/2026
(-)","198.06
(239.57)"
50,"Dwarka Expressway from Km -0.600 to Km 5.300 - Pkg-I Shivmurti Chowk-RuB near
Dwarka Sector 21
(National Highways Authority of India [NHAI])
(619202)",Delhi,"03/2018
(09/2020)","09/2022
(02/2024)","2144.67
(3929.5)"
51,"Construction of 4L Flyover from MES College Junction to Bogmalo Junction on NH-566
from Km. 7.106 to Km. 10.460 and 4L VUP at Queeny Nagar Junction from Km. 3.330
to Km. 4.550
(National Highways Authority of India [NHAI])
(618609)",Goa,"01/2024
(08/2024)","07/2026
(-)","463.08
(316.28)"
52,"4-Laning from End of Zuari approaches to Start of Margao Bypass section of NH-66
from Km 536.800 to Km 543.450
(MoRTH)
(617941)",Goa,"07/2024
(02/2026)","02/2028
(-)","398.25
(-)"
53,"Development of Chiloda - Gandhinagar- Sarkhej ofNH-147 Package -II
(MoRTH)
(617977)",Gujarat,"04/2018
(11/2018)","11/2020
(07/2022)","211.28
(234.44)"
54,"6L with PS of Samakhiyali to Santalpur section from km. 339.700 to Km. 430.100 of
NH-27
(National Highways Authority of India [NHAI])
(618564)",Gujarat,"01/2023
(12/2023)","12/2025
(-)","1553.76
(34.34)"
55,"Vadodara Mumbai Expressway Ena -Kim Phase IB - Pkg VI [Km 217.500 to Km
254.430]
(National Highways Authority of India [NHAI])
(618464)",Gujarat,"05/2020
(12/2021)","12/2023
(11/2024)","2271.86
(4297.28)"
56,"Vadodara Mumbai Expressway Jujuwa - Gandeva from Km. 154.600 to Km. 190.000
Phase-I Package-VIII
(National Highways Authority of India [NHAI])
(618466)",Gujarat,"07/2023
(08/2024)","03/2026
(-)","3834.24
(3820.2)"
57,"Vadodara Mumbai Expressway Karvad - Jujuwa from Km. 128.000 to Km. 154.600
Phase-I Package-IX
(National Highways Authority of India [NHAI])
(618467)",Gujarat,"07/2023
(04/2024)","10/2025
(-)","2594.17
(2587.04)"
58,"Balance work of Six Laning of Shamlaji-Motachiloda from Km. 401.200 to Km.494.410
section Design Chainage Km.447.385 to Km 540.595, Length- 93.210 Km of old NH-8
NH-48 in the state of Gujarat on single Percentage Item Rate Contract
(National Highways Authority of India [NHAI])
(618507)",Gujarat,"06/2024
(08/2024)","06/2025
(-)","466.8
(501.48)"
59,"Construction of Additional Structures including Approaches in Vadodara Surat Section
of NH48 between existing Km. 108.000 to Km. 250.000
(National Highways Authority of India [NHAI])
(618508)",Gujarat,"03/2024
(01/2025)","01/2027
(-)","907.39
(907.39)"
60,"Delhi-Vadodara Greenfield Alignment NH-148N Pkg-27 Ch.729.700 to Ch.756.052
(National Highways Authority of India [NHAI])
(619197)",Gujarat,"09/2020
(02/2022)","02/2024
(12/2024)","1185.69
(1259.27)"
61,"4L PS Divided Carriageway from Patan Near Rajpur to Gojariya From Km 52.000 to
Km 128.940 of NH-68
(National Highways Authority of India [NHAI])
(618901)",Gujarat,"12/2021
(03/2023)","03/2025
(-)","1181.34
(1098.23)"
62,"Pipli Bhavnagar-Package 1 from km 136.025 to km 169.328
(National Highways Authority of India [NHAI])
(618699)",Gujarat,"03/2018
(02/2019)","09/2021
(-)","819.14
(1297.38)"
63,"Karnal ring road Lot-4/Pkg-1
(National Highways Authority of India [NHAI])
(619201)",Haryana,"11/2022
(08/2023)","08/2025
(-)","1741.45
(2041.54)"
